"","document.ID.1","document.ID.2","experiment.ID","processing.time","team.name"
"1",1,3,1,4060,"517"
"2",1,4,1,3213,"517"
"3",1,5,1,3041,"517"
"4",2,1,1,5669,"517"
"5",2,3,1,2325,"517"
"6",2,4,1,2509,"517"
"7",2,5,1,3149,"517"
"8",2,6,1,4710,"517"
"9",3,4,1,2400,"517"
"10",5,3,1,1994,"517"
"11",5,4,1,1497,"517"
"12",6,1,1,2552,"517"
"13",6,3,1,1104,"517"
"14",6,4,1,1393,"517"
"15",6,5,1,1657,"517"
"16",1,3,2,2631,"517"
"17",1,4,2,3424,"517"
"18",1,5,2,2029,"517"
"19",2,1,2,3965,"517"
"20",2,3,2,2881,"517"
"21",2,4,2,2667,"517"
"22",2,5,2,2761,"517"
"23",2,6,2,1930,"517"
"24",3,4,2,1917,"517"
"25",5,3,2,1275,"517"
"26",5,4,2,1348,"517"
"27",6,1,2,2923,"517"
"28",6,3,2,1132,"517"
"29",6,4,2,1509,"517"
"30",6,5,2,1203,"517"
"31",1,3,3,2160,"517"
"32",1,4,3,2655,"517"
"33",1,5,3,3083,"517"
"34",2,1,3,3177,"517"
"35",2,3,3,2371,"517"
"36",2,4,3,1391,"517"
"37",2,5,3,1465,"517"
"38",2,6,3,1341,"517"
"39",3,4,3,1578,"517"
"40",5,3,3,1236,"517"
"41",5,4,3,1047,"517"
"42",6,1,3,2978,"517"
"43",6,3,3,1197,"517"
"44",6,4,3,1002,"517"
"45",6,5,3,1040,"517"
"46",1,3,4,3121,"517"
"47",1,4,4,2172,"517"
"48",1,5,4,2042,"517"
"49",2,1,4,3456,"517"
"50",2,3,4,2204,"517"
"51",2,4,4,1443,"517"
"52",2,5,4,1383,"517"
"53",2,6,4,1274,"517"
"54",3,4,4,1279,"517"
"55",5,3,4,2184,"517"
"56",5,4,4,1132,"517"
"57",6,1,4,2985,"517"
"58",6,3,4,1149,"517"
"59",6,4,4,1392,"517"
"60",6,5,4,964,"517"
"61",1,3,5,3193,"517"
"62",1,4,5,2486,"517"
"63",1,5,5,1980,"517"
"64",2,1,5,2804,"517"
"65",2,3,5,1470,"517"
"66",2,4,5,1384,"517"
"67",2,5,5,2756,"517"
"68",2,6,5,2180,"517"
"69",3,4,5,1203,"517"
"70",5,3,5,2203,"517"
"71",5,4,5,1554,"517"
"72",6,1,5,2356,"517"
"73",6,3,5,1091,"517"
"74",6,4,5,1457,"517"
